id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
216053,Black,Wide,144 mm,Lenskart STUDIO,LK S16737,3000,sunglasses,0,265,0.0,,614
152827,Gold,Medium,134 mm,Vincent Chase,VC E14711,2000,eyeframe,0,6841,4.9,22,433
213220,Silver,Medium,136 mm,Vincent Chase,VC S16531,2000,sunglasses,0,1179,0.0,,369
148318,Grey,Extra Narrow,126 mm,John Jacobs,JJ E12543XS,3500,eyeframe,232,3864,4.4,12,822
211530,Purple,Narrow,132 mm,Vincent Chase,VC E16201,2000,eyeframe,0,1270,0.0,,728
213285,Gold,Wide,141 mm,Vincent Chase Polarized,VC S16559,1500,sunglasses,0,772,0.0,,363
201537,Green,Medium,134 mm,Lenskart Air,LA E11483,2000,eyeframe,0,3976,4.7,115,538
201397,Black,Medium,135 mm,John Jacobs,JJ E11549,3500,eyeframe,0,20733,4.35,181,4
212051,Red,8-12 yrs,135 mm,Hooper,LK S16248,2000,sunglasses,0,1779,0.0,,42
146794,Black,Medium,136 mm,John Jacobs,JJ E13791,5000,eyeframe,1210,10619,4.75,9,1244
213468,Silver,Narrow,131 mm,John Jacobs,JJ E16575,5000,eyeframe,0,683,0.0,,301
150376,Silver,Wide,141 mm,John Jacobs,JJ E14312,5000,eyeframe,0,4023,4.5,4,954
151516,Black,Wide,145 mm,Vincent Chase,VC S14525,1500,sunglasses,1427,7248,4.6,11,6061
204123,Transparent,Extra Wide,131 mm,Vincent Chase Online,VC E15010,2000,eyeframe,0,5815,4.25,4,360
211385,Black,Narrow,133 mm,Lenskart Air,LA E16154,2000,eyeframe,0,1232,0.0,,745
215741,Tortoise,Wide,141 mm,John Jacobs,JJ E16683,5000,eyeframe,0,668,5.0,1,862
216867,Black,Extra Wide,144 mm,John Jacobs,JJ S16878,6000,sunglasses,0,379,0.0,,1114
216880,Gold,Extra Wide,142 mm,John Jacobs,JJ S16883,6000,sunglasses,0,682,0.0,,1405
210771,Blue,Narrow,131 mm,Lenskart Air Online,LA E16026,2000,eyeframe,0,2082,0.0,,240
212043,Maroon,8-12 yrs,130 mm,Hooper,LK S16244,2000,sunglasses,0,1606,0.0,,40
212845,Gunmetal,Medium,136 mm,John Jacobs,JJ E16449,6000,eyeframe,0,1042,0.0,,51
213244,Gold,Medium,139 mm,Vincent Chase Polarized,VC S16541,1500,sunglasses,0,472,3.0,1,941
200120,,,,Aquacolor,Aquacolor Mystery Hazel Zero Power Monthly,299,contact_lens,7,4203,5.0,3,49987
211041,Gunmetal,Extra Wide,142 mm,Lenskart Air,LA E16090,2000,eyeframe,0,1724,0.0,,507
115408,Tortoise,Medium,135 mm,John Jacobs,JJ E10118,3500,eyeframe,5369,16062,4.3,182,1300
137913,Brown,Medium,137 mm,John Jacobs,JJ E13022,3500,eyeframe,955,6294,4.2,13,36
149217,Gunmetal,Medium,134 mm,John Jacobs,JJ E14151 ,3500,eyeframe,125,3406,4.2,5,164
211392,Blue,Narrow,132 mm,Lenskart Air,LA E16156,2000,eyeframe,0,1421,0.0,,708
208142,Blue,Extra Wide,145 mm,John Jacobs,JJ S15558,6000,sunglasses,0,1818,3.0,3,77
216063,Black,Wide,144 mm,Lenskart STUDIO,LK S16742,3000,sunglasses,0,254,0.0,,890
216850,Tortoise,Extra Wide,142 mm,John Jacobs,JJ E16889,5000,eyeframe,0,404,0.0,,110
138248,Transparent,Extra Wide,142 mm,John Jacobs,JJ S13082,3500,sunglasses,1053,6762,4.85,7,229
143350,Silver,Medium,137 mm,John Jacobs Online,JJ E13466,3500,eyeframe,1656,9860,4.7,30,559
146274,Blue,Narrow,132 mm,Lenskart Air,LA E12059,2000,eyeframe,2700,13306,4.45,26,58
149767,Grey,Medium,134 mm,Lenskart Blu,LB E14242,1500,non_power_reading,3201,10125,4.4,39,96
210549,Brown,Wide,138 mm,Vincent Chase,VC E15988,2000,eyeframe,0,1680,0.0,,259
212613,Transparent,Extra Wide,146 mm,Vincent Chase Online,VC S16414,2000,sunglasses,0,1125,0.0,,124
138265,Brown,Wide,139 mm,John Jacobs,JJ S13089,6000,sunglasses,439,4644,4.5,2,503
152048,Green,Narrow,132 mm,Lenskart Air,LA E14641,2000,eyeframe,0,2582,4.9,12,264
152941,Tortoise,Narrow,130 mm,John Jacobs,JJ E14728,3500,eyeframe,0,574,0.0,,793
201385,Silver,Extra Wide,142 mm,John Jacobs,JJ E11459,5000,eyeframe,0,5030,4.2,43,376
216853,Tortoise,Wide,140 mm,John Jacobs,JJ E16890,5000,eyeframe,0,591,0.0,,339
135940,Transparent,Wide,141 mm,John Jacobs,JJ E12649,5000,eyeframe,2177,12074,4.45,42,1
205961,Black,Medium,137 mm,John Jacobs,JJ E15283,3500,eyeframe,0,5713,4.0,2,2
207655,Blue,Medium,135 mm,Vincent Chase,VC E15505,2000,eyeframe,0,3053,0.0,,20
143888,Gold,Medium,136 mm,Lenskart Blu,LB E13529,2000,non_power_reading,4686,10951,4.5,214,296
201407,Gold,Medium,138 mm,John Jacobs,JJ E12735,5000,eyeframe,0,2189,0.0,,679
209681,Gunmetal,Wide,138 mm,John Jacobs,JJ E15825,5000,eyeframe,0,1188,0.0,,1136
215727,Transparent,Medium,136 mm,LENSKART BLU READERS,LR E13968,1200,non_power_reading,0,243,0.0,,263
