id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
211896,Transparent,Medium,134 mm,Lenskart Blu,LB E16219,2000,2000,non_power_reading,0,251,0.0,,LKBLUCE,950,False
211901,Transparent,Extra Narrow,128 mm,Lenskart Blu,LB E16223,2000,2000,non_power_reading,0,224,0.0,,LKBLUCE,853,False
211898,Green,Extra Narrow,129 mm,Lenskart Blu,LB E16222,2000,2000,non_power_reading,0,94,0.0,,LKBLUCE,1101,False
211894,Pink,Medium,136 mm,Lenskart Blu,LB E16218,2000,2000,non_power_reading,0,72,0.0,,LKBLUCE,1127,False
211902,Yellow,Narrow,131 mm,Lenskart Blu,LB E16224,2000,2000,non_power_reading,0,67,0.0,,LKBLUCE,702,False
211911,Black,Extra Wide,148 mm,Lenskart Blu,LB E16225,2000,2000,non_power_reading,0,420,0.0,,LKBLUCE,324,False
211893,Transparent,Medium,136 mm,Lenskart Blu,LB E16218,2000,2000,non_power_reading,0,210,0.0,,LKBLUCE,919,False
211897,Maroon,Medium,134 mm,Lenskart Blu,LB E16219,2000,2000,non_power_reading,0,72,0.0,,LKBLUCE,1147,False
149783,Black,Wide,139 mm,Lenskart Blu,LB E14255,1500,1500,non_power_reading,930,5581,4.6,30,LKBLUCE,880,False
148703,Tortoise,Wide,139 mm,Lenskart Blu,LB E14058,1500,1500,non_power_reading,4457,17663,4.6,309,LKSHARK,100,False
143886,Grey,Medium,136 mm,Lenskart Blu,LB E13529,2000,2000,non_power_reading,8413,14623,4.5,210,LKBLUCE,3,False
148761,Grey,Medium,136 mm,Lenskart Blu,LB E14067,2000,2000,non_power_reading,4154,7612,4.5,36,LKBLUCE,769,False
143914,Black,Medium,134 mm,Lenskart Blu,LB E13528,1500,1500,non_power_reading,7998,15794,4.45,117,LKBLUCE,4,False
149171,Silver,Narrow,130 mm,Lenskart Blu,LB E14131,2000,2000,non_power_reading,9076,10720,4.5,90,LKBLUCE,4641,False
149291,Black,Wide,138 mm,Lenskart Blu,LB E13533,2000,2000,non_power_reading,1229,15820,4.45,140,LKBLUCE,4192,False
149172,Gold,Narrow,130 mm,Lenskart Blu,LB E14131,2000,2000,non_power_reading,6644,13077,4.5,90,LKBLUCE,952,False
152162,Blue,Wide,140 mm,Lenskart Blu,LB E14452,1500,1500,non_power_reading,0,3667,4.55,14,LKBLUCE,175,False
149782,Black,Wide,139 mm,Lenskart Blu,LB E14255,1200,1200,non_power_reading,862,5871,4.6,30,LKBLUCE,43,False
138877,Transparent,Wide,139 mm,Lenskart Blu,LB E13533,2000,2000,non_power_reading,16882,31898,4.45,140,LKBLUCE,1009,False
143910,Grey,Medium,136 mm,Lenskart Blu,LB E13527,1500,1500,non_power_reading,2891,10718,4.45,133,LKBLUCE,605,False
149781,Black,Wide,139 mm,Lenskart Blu,LB E14255,1500,1500,non_power_reading,1507,9841,4.6,30,LKBLUCE,90,False
200283,Blue,Medium,134 mm,Lenskart Blu,LB E14792,2000,2000,non_power_reading,0,3087,4.7,10,LKBLUCE,461,False
143916,Grey,Medium,134 mm,Lenskart Blu,LB E13528,1500,1500,non_power_reading,1525,8670,4.45,117,LKBLUCE,556,False
204453,Brown,Wide,139 mm,Lenskart Blu,LB E14058,1200,1200,non_power_reading,0,2189,4.6,309,LKBLUCE,27,False
143892,Brown,Narrow,132 mm,Lenskart Blu,LB E13530,2000,2000,non_power_reading,1037,7679,4.65,79,LKBLUCE,1000,False
149784,Green,Wide,139 mm,Lenskart Blu,LB E14255,1500,1500,non_power_reading,562,4387,4.6,30,LKBLUCE,349,False
206574,Black,Narrow,132 mm,Lenskart Blu,LB E15378,1500,1500,non_power_reading,0,1999,0.0,,LKBLUCE,37,False
204455,Transparent,Wide,139 mm,Lenskart Blu,LB E14058,1200,1200,non_power_reading,0,3684,4.6,309,LKBLUCE,66,False
206977,Brown,Medium,137 mm,Lenskart Blu,LB E14060,1500,1500,non_power_reading,0,827,4.65,61,LKBLUCE,407,False
148705,Green,Wide,139 mm,Lenskart Blu,LB E14058,1500,1500,non_power_reading,2508,10879,4.6,309,LKSHARK,134,False
204464,Transparent,Medium,137 mm,Lenskart Blu,LB E14060,1200,1200,non_power_reading,0,2319,4.65,61,LKBLUCE,211,False
206576,Pink,Narrow,132 mm,Lenskart Blu,LB E15378,1500,1500,non_power_reading,0,993,0.0,,LKBLUCE,243,False
148706,Black,Wide,138 mm,Lenskart Blu,LB E14059,1500,1500,non_power_reading,4035,11679,4.85,15,LKBLUCE,347,False
212620,Black,Extra Wide,147 mm,Lenskart Blu,LB E16409,1500,1500,non_power_reading,0,328,0.0,,LKBLUCE,172,False
207492,Orange,Medium,137 mm,Lenskart Blu,LB E14060,1500,1500,non_power_reading,0,740,4.65,61,LKBLUCE,427,False
204460,Yellow,Medium,137 mm,Lenskart Blu,LB E14060,1200,1200,non_power_reading,0,2382,4.65,61,LKBLUCE,73,False
212622,Brown,Extra Wide,146 mm,Lenskart Blu,LB E16410,1500,1500,non_power_reading,0,266,0.0,,LKBLUCE,164,False
210924,Blue,Extra Wide,144 mm,Lenskart Blu,LB E16049,2000,2000,non_power_reading,0,619,0.0,,LKBLUCE,32,False
148708,Red,Wide,139 mm,Lenskart Blu,LB E14059,1500,1500,non_power_reading,1156,4847,4.85,15,LKBLUCE,135,False
151161,Gold,Medium,135 mm,Lenskart Blu,LB E14483,2000,2000,non_power_reading,370,4783,4.4,19,LKBLUCE,1126,False
149173,Red,Narrow,130 mm,Lenskart Blu,LB E14131,2000,2000,non_power_reading,2741,3720,4.5,90,LKBLUCE,12,False
151493,Red,Narrow,133 mm,Lenskart Blu,LB E14521,2000,2000,non_power_reading,29,2084,4.7,14,LKBLUCE,984,False
151492,Brown,Narrow,133 mm,Lenskart Blu,LB E14521,2000,2000,non_power_reading,0,7170,4.7,14,LKBLUCE,359,False
201292,Transparent,Wide,139 mm,Lenskart Blu,LB E14059,1500,1500,non_power_reading,0,3154,4.85,15,LKBLUCE,719,False
204456,Green,Wide,139 mm,Lenskart Blu,LB E14058,1200,1200,non_power_reading,0,2261,4.6,309,LKBLUCE,551,False
204461,Brown,Medium,137 mm,Lenskart Blu,LB E14060,1200,1200,non_power_reading,0,1802,4.65,61,LKBLUCE,567,False
148601,Green,Wide,138 mm,Lenskart Blu,L BE13533,2000,2000,non_power_reading,7354,16632,4.65,20,LKBLUCE,463,False
206577,Pink,Narrow,132 mm,Lenskart Blu,LB E15378,1500,1500,non_power_reading,0,773,0.0,,LKBLUCE,427,False
204462,Green,Medium,137 mm,Lenskart Blu,LB E14060,1200,1200,non_power_reading,0,1551,4.65,61,LKBLUCE,395,False
210927,Blue,Narrow,131 mm,Lenskart Blu,LB E16051,2000,2000,non_power_reading,0,401,0.0,,LKBLUCE,210,False
206573,Green,Medium,137 mm,Lenskart Blu,LB E14060,1500,1500,non_power_reading,0,917,4.65,61,LKBLUCE,328,False
212624,Blue,Extra Wide,142 mm,Lenskart Blu,LB E16411,1500,1500,non_power_reading,0,149,0.0,,LKBLUCE,252,False
206975,Yellow,Medium,137 mm,Lenskart Blu,LB E14060,1500,1500,non_power_reading,0,911,4.65,61,LKBLUCE,357,False
210923,Black,Extra Wide,144 mm,Lenskart Blu,LB E16049,2000,2000,non_power_reading,0,484,5.0,1,LKBLUCE,141,False
210928,Black,Narrow,131 mm,Lenskart Blu,LB E16051,2000,2000,non_power_reading,0,529,0.0,,LKBLUCE,35,False
212621,Grey,Extra Wide,146 mm,Lenskart Blu,LB E16410,1500,1500,non_power_reading,0,308,0.0,,LKBLUCE,112,False
212623,Blue,Extra Wide,142 mm,Lenskart Blu,LB E16411,1500,1500,non_power_reading,0,466,0.0,,LKBLUCE,6,False
143918,Grey,Medium,134 mm,Lenskart Blu,LB E13528,1500,1500,non_power_reading,6037,10004,4.45,117,LKBLUCE,77,False
212619,Transparent,Extra Wide,147 mm,Lenskart Blu,LB E16409,1500,1500,non_power_reading,0,454,0.0,,LKBLUCE,38,False
216321,Blue,Medium,139 mm,Lenskart Hustlr,LB E14058-Combo,1700,1700,non_power_reading,7121,146354,0.0,,LKSHARK,9899,False
209947,Transparent,Wide,140 mm,John Jacobs,JJ E14008L,6000,5000,non_power_reading,0,166,0.0,,,114,False
210943,Black,Narrow,131 mm,Lenskart Blu,LB E16060,2000,2000,non_power_reading,0,131,0.0,,LKBLUCE,288,False
210939,Black,Narrow,133 mm,Lenskart Blu,LB E16059,2000,2000,non_power_reading,0,361,0.0,,LKBLUCE,51,False
215822,Navy Blue-Dhakad Hai,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,963,0.0,,LKSHARK,319,False
210934,Black,Medium,137 mm,Lenskart Blu,LB E16057,2000,2000,non_power_reading,0,292,0.0,,LKBLUCE,123,False
212974,Blue Sky,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,1281,0.0,,LKSHARK,2792,False
213471,Greystone,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,1146,4.0,2,LKSHARK,3060,False
210945,Tortoise,Narrow,131 mm,Lenskart Blu,LB E16061,2000,2000,non_power_reading,0,202,0.0,,LKBLUCE,266,False
212976,Jade Green,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,1138,0.0,,LKSHARK,2477,False
210948,Tortoise,Wide,139 mm,Lenskart Blu,LB E16062,2000,2000,non_power_reading,0,102,5.0,1,LKBLUCE,210,False
