,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
125,210933,Blue,Medium,137 mm,Lenskart Blu,LB E16057,2000,2000,non_power_reading,0,208,0.0,,LKBLUCE,176,False
126,210932,Transparent,Medium,137 mm,Lenskart Blu,LB E16057,2000,2000,non_power_reading,0,394,0.0,,LKBLUCE,39,False
127,210938,Blue,Narrow,131 mm,Lenskart Blu,LB E16059,2000,2000,non_power_reading,0,218,0.0,,LKBLUCE,244,False
128,210937,Tortoise,Wide,139 mm,Lenskart Blu,LB E16058,2000,2000,non_power_reading,0,103,0.0,,LKBLUCE,79,False
129,210936,Brown,Wide,139 mm,Lenskart Blu,LB E16058,2000,2000,non_power_reading,0,163,0.0,,LKBLUCE,321,False
130,210942,Blue,Narrow,131 mm,Lenskart Blu,LB E16060,2000,2000,non_power_reading,0,101,0.0,,LKBLUCE,341,False
131,210941,Transparent,Narrow,131 mm,Lenskart Blu,LB E16060,2000,2000,non_power_reading,0,330,0.0,,LKBLUCE,99,False
132,210940,Black,Narrow,131 mm,Lenskart Blu,LB E16059,2000,2000,non_power_reading,0,166,0.0,,LKBLUCE,254,False
133,210075,Grey,Wide,139 mm,Lenskart Blu,LB E13740,2000,2000,non_power_reading,0,275,0.0,,LKBLUCE,294,False
134,210074,Green,Medium,137 mm,Lenskart Blu,LB E13738,2000,2000,non_power_reading,0,59,0.0,,LKBLUCE,337,False
135,210073,Purple,Medium,137 mm,Lenskart Blu,LB E13738,1500,1500,non_power_reading,0,525,0.0,,LKBLUCE,16,False
136,210072,Green,Medium,137 mm,Lenskart Blu,LB E13738,2000,2000,non_power_reading,0,137,0.0,,LKBLUCE,387,False
137,210079,Blue,Wide,140 mm,Lenskart Blu,LB E13737,2000,2000,non_power_reading,0,191,0.0,,LKBLUCE,355,False
138,210078,Orange,Wide,139 mm,Lenskart Blu,LB E13740,1500,1500,non_power_reading,0,324,0.0,,LKBLUCE,185,False
139,210076,Blue,Wide,139 mm,Lenskart Blu,LB E13740,2000,2000,non_power_reading,0,175,0.0,,LKBLUCE,347,False
140,210082,Pink,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,0,201,0.0,,LKBLUCE,348,False
141,210081,Purple,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,0,200,0.0,,LKBLUCE,346,False
142,210071,Grey,Medium,137 mm,Lenskart Blu,LB E13738,2000,2000,non_power_reading,0,237,0.0,,LKBLUCE,279,False
143,209951,Brown,Medium,134 mm,John Jacobs,JJ E10005,6000,5000,non_power_reading,0,68,0.0,,,160,False
144,209946,Transparent,Narrow,130 mm,John Jacobs,JJ E13005,6000,5000,non_power_reading,0,63,0.0,,,157,False
145,208961,Navy,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,15805,4.6,309,,9427,False
146,207775,Dusky Mauve,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,789,4.6,309,LKBLUCE,54,False
147,207491,Sand Dune,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,33551,4.7,36,LKBLUCE,2673,False
148,206971,Military Green	,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,8681,4.7,36,LKBLUCE,14,False
149,206973,Midnight Blue,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,25635,4.7,36,LKBLUCE,2077,False
150,200277,Black,Narrow,133 mm,Lenskart Blu,LB E14790,1200,1200,non_power_reading,0,5295,4.4,17,LKBLUCE,9,False
151,200287,Green,Medium,137 mm,Lenskart Blu,LB E13739,1200,1200,non_power_reading,0,4391,4.5,149,LKBLUCE,119,False
152,200291,Black,Wide,141 mm,Lenskart Blu,LB E14061,1200,1200,non_power_reading,0,9266,4.5,50,LKBLUCE,577,False
153,200290,Green,Extra Wide,142 mm,Lenskart Blu,LB E14061,1200,1200,non_power_reading,0,4978,4.5,50,LKBLUCE,299,False
154,152164,Black,Wide,139 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,0,4383,4.35,42,LKBLUCE,475,False
155,152163,Green,Wide,139 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,0,2637,4.35,42,LKBLUCE,646,False
156,152161,Cream White,Wide,140 mm,Lenskart Blu,LB E14452,1200,1200,non_power_reading,0,524,4.55,14,LKBLUCE,1289,False
157,151032,Black,Wide,140 mm,Lenskart Blu,LB E14452,1500,1500,non_power_reading,246,2659,4.55,14,LKBLUCE,504,False
158,151033,Transparent,Wide,139 mm,Lenskart Blu,LB E14452,1200,1200,non_power_reading,1243,9250,4.55,14,LKBLUCE,250,False
159,150160,Grey Transparent,Wide,138 mm,Lenskart Blu,LB E14284,1500,1500,non_power_reading,0,2556,4.5,8,LKBLUCE,396,False
160,150159,Black,Wide,138 mm,Lenskart Blu,LB E14284,1500,1500,non_power_reading,0,745,4.5,8,LKBLUCE,452,False
161,217923,Electric Green,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,2,0.0,,LKSHARK,674,False
162,217921,Electric Green,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,0,0.0,,VCEYE,496,False
