,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
232,200394,Silver,Medium,138 mm,Vincent Chase Polarized,VC S13116,2000,2000,sunglasses,0,14941,4.5,60,VCSUN,7199,False
233,200380,Gold,Medium,138 mm,Vincent Chase Polarized,VC S11075,1500,1500,sunglasses,0,16126,4.4,191,VCSUN,769,False
234,215371,Purple,Narrow,132 mm,Vincent Chase,VC E16653,1700,1700,eyeframe,0,777,0.0,,VCEYE,674,False
235,213259,Gold,Extra Narrow,130 mm,Vincent Chase Polarized,VC S16548,2000,2000,sunglasses,0,299,0.0,,VCSUN,1238,False
236,135440,Black,Medium,134 mm,John Jacobs,JJ E12610,3500,3500,eyeframe,4095,38271,4.35,114,JJBOGO,1415,False
237,143002,Blue,Extra Narrow,128 mm,Vincent Chase,VC E13394,1700,1700,eyeframe,8820,39874,4.65,144,VCEYE,659,False
238,201083,Gold,Medium,136 mm,Vincent Chase,VC E14931,1700,1700,eyeframe,0,13059,4.85,35,VCEYE,296,False
239,215972,Tortoise,Wide,143 mm,Vincent Chase Polarized,VC S16750,2000,2000,sunglasses,0,1357,0.0,,VCSUN,784,False
240,206747,Silver,Medium,138 mm,Vincent Chase Polarized,VC S15398,1500,1500,sunglasses,0,5043,5.0,2,VCSUN,2914,False
241,215391,Brown,Narrow,133 mm,Vincent Chase,VC E16666,1700,1700,eyeframe,0,1659,0.0,,VCEYE,299,False
242,213273,Black,Narrow,134 mm,Vincent Chase Polarized,VC S16553,2000,2000,sunglasses,0,573,0.0,,VCSUN,621,False
243,150866,Blue,Medium,134 mm,John Jacobs,JJ E14412,3500,3500,eyeframe,0,19108,4.55,12,JJEYE,470,False
244,150396,Black,Wide,140 mm,Vincent Chase,VC E14319,1700,1700,eyeframe,761,36410,4.6,58,VCEYE,4554,False
245,151048,Black,Wide,142 mm,Vincent Chase,VC S14457,2000,2000,sunglasses,213,24197,4.9,10,VCSUN,1012,False
246,137022,Silver,Wide,142 mm,Vincent Chase Polarized,VC S12917,2000,2000,sunglasses,8387,23374,4.7,93,VCSUN,3389,False
247,211276,Black,Wide,142 mm,Vincent Chase Polarized,VC S13830-W,2000,2000,sunglasses,0,3654,0.0,,VCSUN,1459,False
248,215369,Blue,Medium,135 mm,Vincent Chase,VC E16652,1700,1700,eyeframe,0,989,0.0,,VCEYE,1385,False
249,213243,Silver,Medium,139 mm,Vincent Chase Polarized,VC S16541,1500,1500,sunglasses,0,435,0.0,,VCSUN,939,False
250,146625,Silver,Medium,136 mm,Vincent Chase,VC E13789,1700,1700,eyeframe,11647,28496,4.65,180,VCEYE,894,False
251,215460,Brown,Medium,136 mm,Vincent Chase Polarized,VC S16663,2000,2000,sunglasses,0,1004,0.0,,VCSUN,839,False
252,211275,Black,Medium,138 mm,Vincent Chase Polarized,VC S13830-M,2000,2000,sunglasses,0,3531,0.0,,VCSUN,1490,False
253,212879,Gold,Medium,135 mm,Vincent Chase,VC E16461,1700,1700,eyeframe,0,1803,0.0,,VCEYE,549,False
254,213242,Gold,Medium,138 mm,Vincent Chase Polarized,VC S16540,1500,1500,sunglasses,0,315,0.0,,VCSUN,790,False
255,150850,Black,Wide,141 mm,John Jacobs,JJ E14408,3500,3500,eyeframe,0,18072,4.75,9,JJEYE,683,False
256,143018,Black,Narrow,130 mm,Vincent Chase,VC E13400,1700,1700,eyeframe,1428,41653,4.65,88,VCEYE,1460,False
257,206266,Blue,Medium,137 mm,Vincent Chase,VC E15347,1700,1700,eyeframe,0,6254,5.0,1,VCEYE,2483,False
258,209297,Blue,Medium,137 mm,Vincent Chase Polarized,VC S15751,2000,2000,sunglasses,0,4918,0.0,,VCSUN,2685,False
259,206750,Gold,Medium,139 mm,Vincent Chase Polarized,VC S15399,2000,2000,sunglasses,0,8112,5.0,2,VCSUN,2755,False
260,214471,White,Wide,145 mm,Vincent Chase,VC S16614,2000,2000,sunglasses,0,16,0.0,,VCSUN,272,False
261,209327,Black,Medium,137 mm,Vincent Chase Polarized,VC S15765,2000,2000,sunglasses,0,483,0.0,,,1446,False
262,137726,Gunmetal,Wide,139 mm,John Jacobs,JJ E12977,5000,5000,eyeframe,2139,19701,4.45,52,JJBOGO,5486,False
263,201098,Black,Medium,137 mm,Vincent Chase,VC E14936,1700,1700,eyeframe,0,19529,4.95,20,VCEYE,1404,False
264,210633,Gunmetal,Wide,138 mm,Vincent Chase,VC E16038,1700,1700,eyeframe,0,6662,4.65,3,BUY1000,1508,False
265,215452,Grey,Medium,139 mm,Vincent Chase Polarized,VC S16660,2000,2000,sunglasses,0,969,0.0,,VCSUN,463,False
266,149034,Gunmetal,Narrow,135 mm,Vincent Chase Polarized,VC S13115,2000,2000,sunglasses,5042,20310,4.6,104,VCSUN,2501,False
267,213250,Gold,Wide,141 mm,Vincent Chase,VC S16544,1500,1500,sunglasses,0,299,3.0,1,VCSUN,1072,False
268,209330,Silver,Narrow,135 mm,Vincent Chase Polarized,VC S15766,2000,2000,sunglasses,0,474,0.0,,,1482,False
269,135646,Black,Wide,139 mm,John Jacobs,JJ E12634,5000,5000,eyeframe,3532,24341,4.5,42,JJBOGO,115,False
270,146511,Black,Medium,136 mm,Vincent Chase,VC E13752,1700,1700,eyeframe,6797,35600,4.65,66,VCEYE,1876,False
271,149062,Pink,Medium,135 mm,Vincent Chase,VC E14107,1700,1700,eyeframe,3039,27977,4.85,26,VCEYE,2065,False
272,209285,Silver,Wide,142 mm,Vincent Chase Polarized,VC S15747,1500,1500,sunglasses,0,2766,0.0,,VCSUN,9,False
273,215457,Blue,Wide,142 mm,Vincent Chase Polarized,VC S16662,2000,2000,sunglasses,0,934,0.0,,VCSUN,459,False
274,212878,Gold,Medium,137 mm,Vincent Chase,VC E16460,1700,1700,eyeframe,0,1632,0.0,,VCEYE,956,False
275,213239,Gold,Narrow,134 mm,Vincent Chase Polarized,VC S16539,1500,1500,sunglasses,0,366,0.0,,VCSUN,1179,False
276,147671,Rose Gold,Wide,141 mm,John Jacobs,JJ S12961,5000,5000,sunglasses,91,10095,4.65,18,JJSUN,499,False
277,207376,Blue,Medium,136 mm,Vincent Chase,VC E15481,1700,1700,eyeframe,0,5526,4.85,9,VCEYE,1578,False
278,209224,Black,Narrow,130 mm,Vincent Chase,VC E11801,1700,1700,eyeframe,0,13598,5.0,1,VCEYE,6283,False
279,215980,Tortoise,Wide,141 mm,Vincent Chase Polarized,VC S16753,2000,2000,sunglasses,0,873,0.0,,VCSUN,1151,False
280,206961,Gold,Extra Wide,150 mm,Vincent Chase Polarized,VC S15449,2000,2000,sunglasses,0,7306,5.0,2,VCSUN,3021,False
281,213247,Silver,Medium,137 mm,Vincent Chase,VC S16543,1500,1500,sunglasses,0,308,0.0,,VCSUN,1144,False
282,213246,Gold,Wide,142 mm,Vincent Chase Polarized,VC S16542,1500,1500,sunglasses,0,379,0.0,,VCSUN,1207,False
283,140628,Black,Extra Wide,142 mm,John Jacobs,JJ S13311,5000,5000,sunglasses,2746,27059,4.5,14,JJSUN,1845,False
284,146521,Black,Medium,134 mm,Vincent Chase,VC E13757,1700,1700,eyeframe,1273,40788,4.35,51,VCEYE,2346,False
285,210629,Blue,Extra Wide,144 mm,Vincent Chase,VC E16002,1700,1700,eyeframe,0,4583,0.0,,VCEYE,656,False
286,200373,Silver,Wide,141 mm,Vincent Chase Polarized,VC 5158/P,1500,1500,sunglasses,0,8595,4.4,1135,VCSUN,4159,False
287,206462,Gold,Medium,138 mm,Vincent Chase Polarized,VC S15372,2000,2000,sunglasses,0,8093,5.0,1,VCSUN,3416,False
288,213231,Silver,Medium,138 mm,Vincent Chase,VC S16535,1500,1500,sunglasses,0,641,0.0,,VCSUN,892,False
289,213223,Silver,Wide,142 mm,Vincent Chase Polarized,VC S16532,1500,1500,sunglasses,0,344,0.0,,VCSUN,885,False
290,137918,Transparent,Narrow,130 mm,John Jacobs,JJ E13024,3500,3500,eyeframe,2617,12049,4.6,36,JJBOGO,593,False
291,207481,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,192066,4.6,297,VCEYE,11417,False
292,207671,Dark Night,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,55086,4.6,297,VCEYE,13695,False
293,208956,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,55060,4.6,297,VCEYE,9379,False
294,146012,Transparent,Medium,134 mm,Lenskart Air,LA E13517,1700,1700,eyeframe,2904,81680,4.7,148,VCEYE,2092,False
295,148704,Blue Sky,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,7121,172539,4.6,309,LKSHARK,18831,False
296,150581,Grey,Wide,140 mm,Lenskart Air,LA E14362,1700,1700,eyeframe,2027,68884,4.75,66,VCEYE,6732,False
297,208951,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,25802,4.6,297,VCEYE,11372,False
298,137971,Black,Medium,134 mm,Lenskart Air,LA E13068,1700,1700,eyeframe,20552,82387,4.65,168,VCEYE,1135,False
299,151702,Grey,Medium,137 mm,Lenskart Air,LA E14572,1700,1700,eyeframe,0,26574,4.75,35,VCEYE,698,False
300,212816,Blue Sky,Extra Wide,144 mm,Lenskart Hustlr,LA E15417-XW,1700,1700,eyeframe,0,15475,0.0,,VCEYE,2928,False
301,150583,Black,Wide,140 mm,Lenskart Air,LA E14362,1700,1700,eyeframe,970,53796,4.75,66,VCEYE,2186,False
302,152984,Black,Extra Wide,142 mm,Lenskart Air,LA E14736,1700,1700,eyeframe,0,30725,4.65,15,VCEYE,1901,False
303,208952,Jade Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,31249,4.6,297,VCEYE,13767,False
304,146850,Transparent,Wide,140 mm,Lenskart Air,LA E12709,1700,1700,eyeframe,12349,79736,4.75,96,VCEYE,5374,False
305,146020,Blue,Extra Wide,144 mm,Lenskart Air,LA E13519,1700,1700,eyeframe,5332,59680,4.75,174,VCEYE,4977,False
306,150573,Grey,Medium,136 mm,Lenskart Air,LA E14360,1700,1700,eyeframe,4822,69953,4.85,102,VCEYE,7438,False
307,204186,Transparent,Medium,137 mm,Lenskart Air,LA E15019,1700,1700,eyeframe,0,39295,4.65,43,VCEYE,4050,False
308,148331,Grey Transparent,Wide,139 mm,Lenskart Air,LA E14017,1700,1700,eyeframe,1690,33702,4.7,73,VCEYE,3987,False
309,145996,Transparent,Wide,138 mm,Lenskart Air,LA E11821,1700,1700,eyeframe,25348,127857,4.7,529,VCEYE,6850,False
310,201272,Grey,Extra Wide,143 mm,Lenskart Air,LA E14958,1700,1700,eyeframe,0,28176,4.95,21,VCEYE,6058,False
311,150562,Black,Wide,140 mm,Lenskart Air,LA E12489,1700,1700,eyeframe,2014,36249,4.6,104,VCEYE,2410,False
312,148702,Dark Night,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,7533,49635,4.6,309,VCEYE,6406,False
313,217261,Crystal,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,5384,0.0,,VCEYE,2020,False
314,206049,Transparent,Wide,139 mm,Lenskart Air,LA E15308,1700,1700,eyeframe,0,18598,4.8,11,VCEYE,3329,False
315,206824,Amber,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,48417,4.6,297,VCEYE,1063,False
316,150584,Blue,Wide,141 mm,Lenskart Air,LA E14363,1700,1700,eyeframe,759,49873,4.7,41,VCEYE,1332,False
317,146653,Black,Medium,135 mm,Lenskart Air,LA E13776,1700,1700,eyeframe,5779,74566,4.65,107,VCEYE,1193,False
318,216521,Ocean Blue,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,7582,0.0,,LKBLUCE,292,False
319,146021,Grey,Extra Wide,144 mm,Lenskart Air,LA E13519,1700,1700,eyeframe,4903,51804,4.75,174,VCEYE,4848,False
320,149021,Black,Wide,138 mm,Lenskart Air,LA E14101,1700,1700,eyeframe,2283,34766,4.75,35,VCEYE,2532,False
321,145789,Black,Extra Wide,142 mm,Lenskart Air,LA E13646,1700,1700,eyeframe,4846,40343,4.45,63,VCEYE,368,False
322,149268,Transparent,Medium,137 mm,Lenskart Air,LA E10592,1700,1700,eyeframe,12202,37522,4.65,353,VCEYE,3956,False
323,208966,Greystone,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,26301,4.6,309,LKSHARK,6437,False
324,145998,Gold,Medium,135 mm,Lenskart Air,LA E11824,1700,1700,eyeframe,16002,53482,4.85,163,VCEYE,1063,False
325,200552,Transparent,Extra Wide,142 mm,Lenskart Air,LA E14832,1700,1700,eyeframe,0,35862,4.55,64,VCEYE,2760,False
326,217209,Graphite,Narrow,134 mm,Lenskart Hustlr,LH E16985-N,1700,1700,eyeframe,0,5124,0.0,,LKBLUCE,1074,False
327,208961,Navy,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,15805,4.6,309,,9427,False
328,212971,Blue Sky,Narrow,134 mm,Lenskart Hustlr,LA E15417-N,1700,1700,eyeframe,0,9195,5.0,3,Lenskart Hustlr,7637,False
329,206722,Blue,Wide,138 mm,Lenskart Air,LA E15389,1700,1700,eyeframe,0,11755,0.0,,VCEYE,759,False
330,145983,Blue,Extra Wide,142 mm,Lenskart Air,LA E11412-N,3000,3000,eyeframe,5293,54276,4.5,111,VCEYE,4321,False
331,151703,Grey,Medium,136 mm,Lenskart Air,LA E14573,1700,1700,eyeframe,0,24348,4.75,64,VCEYE,2382,False
332,212817,Greystone,Extra Wide,144 mm,Lenskart Hustlr,LA E15417-XW,1700,1700,eyeframe,0,11025,4.5,2,VCEYE,3994,False
333,209750,Brown,Wide,138 mm,Lenskart Air,LA E15844,1700,1700,eyeframe,0,9299,4.65,3,VCEYE,787,False
334,149022,Pink,Wide,138 mm,Lenskart Air,LA E14101,1700,1700,eyeframe,1740,21599,4.75,35,VCEYE,3679,False
335,146273,Black,Extra Wide,144 mm,Lenskart Air,LA E11289,1700,1700,eyeframe,13084,65811,4.6,252,VCEYE,2210,False
336,151704,Sky Blue,Medium,136 mm,Lenskart Air,LA E14573,1700,1700,eyeframe,0,39515,4.75,64,VCEYE,1919,False
337,147284,Blue,Extra Wide,143 mm,Lenskart Air,LA E11413,3000,3000,eyeframe,2638,32549,4.65,109,VCEYE,737,False
338,145696,Blue,Wide,140 mm,Lenskart Air,LA E13643,1700,1700,eyeframe,827,33087,4.6,92,VCEYE,5445,False
339,206825,Midnight Blue,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,35603,4.6,297,VCEYE,11122,False
340,145974,Black,Extra Narrow,123 mm,Lenskart Air,LA 0353,1700,1700,eyeframe,4240,59742,4.75,79,VCEYE,1426,False
341,200553,Blue,Extra Wide,142 mm,Lenskart Air,LA E14832,1700,1700,eyeframe,0,23664,4.55,64,VCEYE,902,False
342,209767,Grey,Medium,137 mm,Lenskart Air,LA E15849,3000,3000,eyeframe,0,5460,0.0,,VCEYE,1078,False
343,210621,Transparent,Medium,135 mm,Lenskart Air,LA E15017,1700,1700,eyeframe,0,6456,0.0,,VCEYE,741,False
344,208962,Jade Green,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,17587,4.6,309,LKSHARK,9870,False
345,145694,Grey,Wide,140 mm,Lenskart Air,LA E13643,1700,1700,eyeframe,1462,49592,4.6,92,VCEYE,13565,False
346,150600,Blue,Medium,135 mm,Lenskart Air,LA E14368,1700,1700,eyeframe,2081,33427,4.7,64,VCEYE,1076,False
347,217201,Denim,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,4043,0.0,,VCEYE,829,False
348,209774,Grey,Medium,137 mm,Lenskart Air,LA E15851,3000,3000,eyeframe,0,4842,0.0,,VCEYE,65,False
349,145991,Blue,Wide,139 mm,Lenskart Air,LA E11415,3000,3000,eyeframe,1402,39387,4.65,65,VCEYE,903,False
350,146822,Black,Medium,136 mm,Lenskart Air,LA E11889,1700,1700,eyeframe,2981,39798,4.65,34,VCEYE,2141,False
351,207551,Black,Wide,140 mm,Lenskart Air,LA E15494,1700,1700,eyeframe,0,25857,5.0,6,VCEYE,1281,False
352,201281,Transparent,Narrow,132 mm,Lenskart Air,LA E14961,1700,1700,eyeframe,0,24532,4.85,31,VCEYE,4136,False
353,151701,Black,Medium,137 mm,Lenskart Air,LA E14572,1700,1700,eyeframe,0,16090,4.75,35,VCEYE,1291,False
354,201283,Grey,Wide,140 mm,Lenskart Air,LA E14962,1700,1700,eyeframe,0,20778,4.7,17,VCEYE,1978,False
355,150551,Tortoise,Wide,138 mm,Lenskart Air,LA E11821,1700,1700,eyeframe,490,25168,4.7,529,VCEYE,958,False
356,211383,Blue,Medium,135 mm,Lenskart Air,LA E16153,1700,1700,eyeframe,0,2874,0.0,,VCEYE,36,False
