id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
217142,Black,Wide,142 mm,Vincent Chase,VC S16955,2000,2000,sunglasses,0,11,0.0,,VCSUN,2323,False
215907,Blue,Wide,140 mm,Lenskart Air,LA E16724,1700,1700,eyeframe,0,438,0.0,,VCEYE,1104,False
137935,Brown,Medium,136 mm,Vincent Chase,VC E13029,1700,1700,eyeframe,2799,67634,4.8,130,VCEYE,3617,False
146618,Gunmetal,Medium,134 mm,Vincent Chase,VC E13785,1700,1700,eyeframe,5965,69328,4.75,174,VCEYE,8819,False
151702,Grey,Medium,137 mm,Lenskart Air,LA E14572,1700,1700,eyeframe,0,26931,4.75,36,VCEYE,368,False
150573,Grey,Medium,136 mm,Lenskart Air,LA E14360,1700,1700,eyeframe,4822,70187,4.85,102,VCEYE,7237,False
216454,Gunmetal,Medium,136 mm,Vincent Chase,VC E16786,1700,1700,eyeframe,0,926,5.0,1,VCEYE,561,False
215906,White,Medium,136 mm,Lenskart Air,LA E16723,1700,1700,eyeframe,0,381,0.0,,VCEYE,720,False
150861,Pink,Medium,134 mm,John Jacobs,JJ E14410,3500,3500,eyeframe,0,12049,4.65,22,JJEYE,863,False
201630,Brown,Narrow,133 mm,Vincent Chase,VC E14977,1700,1700,eyeframe,0,40561,4.75,29,VCEYE,561,False
146620,Silver,Narrow,132 mm,Vincent Chase,VC E13786,1700,1700,eyeframe,6800,105919,4.8,273,VCEYE,18227,False
150583,Black,Wide,140 mm,Lenskart Air,LA E14362,1700,1700,eyeframe,970,53988,4.75,66,VCEYE,2359,False
217143,Black,Wide,142 mm,Vincent Chase,VC S16956,2000,2000,sunglasses,0,775,0.0,,VCSUN,1737,False
215911,Pink,Narrow,133 mm,Lenskart Air,LA E16726,1700,1700,eyeframe,0,438,0.0,,VCEYE,586,False
211284,Black,Wide,139 mm,John Jacobs,JJ E16146,3500,3500,eyeframe,0,5554,0.0,,JJBOGO,2491,False
150413,Pink,Medium,136 mm,Vincent Chase,VC E14324,1700,1700,eyeframe,384,29610,4.2,47,VCEYE,3003,False
146616,Black,Medium,135 mm,Vincent Chase,VC E13784,1700,1700,eyeframe,22848,73675,4.6,257,VCEYE,5106,False
204186,Transparent,Medium,137 mm,Lenskart Air,LA E15019,1700,1700,eyeframe,0,39503,4.65,43,VCEYE,3904,False
146653,Black,Medium,135 mm,Lenskart Air,LA E13776,1700,1700,eyeframe,5779,74729,4.65,107,VCEYE,1070,False
216395,Blue,Medium,136 mm,Vincent Chase,VC E16787,1700,1700,eyeframe,0,73,0.0,,VCEYE,950,False
213363,Black,Medium,134 mm,Lenskart Air,LA E16568,1700,1700,eyeframe,0,890,0.0,,VCEYE,1174,False
131410,Black,Medium,135 mm,John Jacobs,JJ E11675,5000,5000,eyeframe,6072,66326,4.7,212,JJBOGO,730,False
151049,Black,Wide,142 mm,Vincent Chase,VC S14457,2000,2000,sunglasses,477,37859,4.9,10,VCSUN,2621,False
146619,Gold,Narrow,132 mm,Vincent Chase,VC E13786,1700,1700,eyeframe,12294,78257,4.8,273,VCEYE,13315,False
152984,Black,Extra Wide,142 mm,Lenskart Air,LA E14736,1700,1700,eyeframe,0,30932,4.65,15,VCEYE,1718,False
146850,Transparent,Wide,140 mm,Lenskart Air,LA E12709,1700,1700,eyeframe,12349,79942,4.75,96,VCEYE,5221,False
217141,Black,Wide,142 mm,Vincent Chase,VC S16954,2000,2000,sunglasses,0,14,0.0,,VCSUN,2218,False
215910,Grey,Narrow,132 mm,Lenskart Air,LA E16725,1700,1700,eyeframe,0,427,0.0,,VCEYE,860,False
134949,Black,Extra Wide,143 mm,John Jacobs,JJ S12473,5000,5000,sunglasses,2240,12251,4.75,16,JJSUN,12,False
149097,Grey,Medium,136 mm,Vincent Chase,VC E13033-M,1700,1700,eyeframe,1985,46343,4.7,52,VCEYE,1414,False
149268,Transparent,Medium,137 mm,Lenskart Air,LA E10592,1700,1700,eyeframe,12202,37600,4.65,353,VCEYE,3882,False
145998,Gold,Medium,135 mm,Lenskart Air,LA E11824,1700,1700,eyeframe,16002,53626,4.85,163,VCEYE,954,False
215387,Silver,Medium,136 mm,Vincent Chase,VC E16664,1700,1700,eyeframe,0,1014,0.0,,VCEYE,1401,False
213357,Silver,Medium,134 mm,Lenskart Air,LA E16566,1700,1700,eyeframe,0,778,0.0,,VCEYE,1217,False
150862,Black,Medium,138 mm,John Jacobs,JJ E14411,3500,3500,eyeframe,0,28813,4.65,12,JJEYE,4499,False
146623,Gold,Narrow,132 mm,Vincent Chase,VC E13788,1700,1700,eyeframe,5489,64086,4.75,108,VCEYE,5065,False
146020,Blue,Extra Wide,144 mm,Lenskart Air,LA E13519,1700,1700,eyeframe,5332,59872,4.75,174,VCEYE,5738,False
148331,Grey Transparent,Wide,139 mm,Lenskart Air,LA E14017,1700,1700,eyeframe,1690,33877,4.7,73,VCEYE,6889,False
211315,Pink,Wide,141 mm,Vincent Chase,VC E13451-W,1700,1700,eyeframe,0,46,0.0,,VCEYE,1404,False
215915,Grey,Wide,138 mm,Lenskart Air,LA E16728,1700,1700,eyeframe,0,445,0.0,,VCEYE,1255,False
121600,Gunmetal,Extra Narrow,128 mm,John Jacobs,JJ E10640,5000,5000,eyeframe,2904,34852,4.2,64,JJEYE,3528,False
142834,Gunmetal,Medium,134 mm,Vincent Chase,VC E11891,1700,1700,eyeframe,2827,55973,4.5,240,VCEYE,4627,False
151050,Black,Medium,139 mm,Vincent Chase,VC S14458,2000,2000,sunglasses,523,21689,4.5,8,VCSUN,1888,False
152987,Blue,Medium,136 mm,Lenskart Air,LA E14736M,1700,1700,eyeframe,0,24014,4.85,15,VCEYE,281,False
136712,Black,Medium,134 mm,Lenskart Air,LA E12852,1700,1700,eyeframe,5775,61676,4.65,226,VCEYE,5374,False
215379,Silver,Medium,136 mm,Vincent Chase,VC E16657,1700,1700,eyeframe,0,570,0.0,,VCEYE,770,False
213375,Pink,Medium,134 mm,Lenskart Air,LA E16574,1700,1700,eyeframe,0,1149,0.0,,VCEYE,776,False
201389,Black,Medium,137 mm,John Jacobs,JJ E11540,5000,5000,eyeframe,0,22334,4.4,187,JJEYE,5959,False
201631,Transparent,Narrow,133 mm,Vincent Chase,VC E14977,1700,1700,eyeframe,0,31972,4.75,29,VCEYE,801,False
142996,Purple,Narrow,132 mm,Vincent Chase,VC E13393,1700,1700,eyeframe,1820,67845,4.65,76,VCEYE,3543,False
201272,Grey,Extra Wide,143 mm,Lenskart Air,LA E14958,1700,1700,eyeframe,0,28360,4.95,21,VCEYE,6191,False
150562,Black,Wide,140 mm,Lenskart Air,LA E12489,1700,1700,eyeframe,2014,36429,4.6,104,VCEYE,4347,False
215382,Purple,Extra Narrow,129 mm,Vincent Chase,VC E16658,1700,1700,eyeframe,0,1096,0.0,,VCEYE,518,False
211610,Silver,Extra Narrow,130 mm,Lenskart Air,LA E16208,3000,3000,eyeframe,0,600,0.0,,VCEYE,1561,False
211283,Grey,Wide,139 mm,John Jacobs,JJ E16146,3500,3500,eyeframe,0,4259,0.0,,JJBOGO,1223,False
134826,Silver,Wide,138 mm,Vincent Chase,VC E12422,1700,1700,eyeframe,27771,89045,4.65,548,VCEYE,4322,False
204440,Silver,Narrow,130 mm,Vincent Chase,VC E15069,1700,1700,eyeframe,0,19625,4.75,18,VCEYE,92,False
206049,Transparent,Wide,139 mm,Lenskart Air,LA E15308,1700,1700,eyeframe,0,18792,4.8,11,VCEYE,3170,False
150584,Blue,Wide,141 mm,Lenskart Air,LA E14363,1700,1700,eyeframe,759,50020,4.7,41,VCEYE,1430,False
